,Player,Maps,K,D,A,KD,ACS_Map,K_Map,D_Map,A_Map
0,Shin,5,97,74,Shin,Shin,Shin,Shin,Shin,Shin
1,trexx,2,46,27,trexx,trexx,trexx,trexx,trexx,trexx
2,k1Ng,2,44,32,k1Ng,k1Ng,k1Ng,k1Ng,k1Ng,k1Ng
3,Twisten,5,99,73,Twisten,Twisten,Twisten,Twisten,Twisten,Twisten
4,Nivera,5,93,70,Nivera,Nivera,Nivera,Nivera,Nivera,Nivera
5,qw1,5,98,81,qw1,qw1,qw1,qw1,qw1,qw1
6,nAts,2,40,30,nAts,nAts,nAts,nAts,nAts,nAts
7,JessieVash,4,71,67,JessieVash,JessieVash,JessieVash,JessieVash,JessieVash,JessieVash
8,Derke,14,274,220,Derke,Derke,Derke,Derke,Derke,Derke
9,CHICHOO,3,62,49,CHICHOO,CHICHOO,CHICHOO,CHICHOO,CHICHOO,CHICHOO
10,keloqz,2,38,33,keloqz,keloqz,keloqz,keloqz,keloqz,keloqz
11,heat,2,37,36,heat,heat,heat,heat,heat,heat
12,Jamppi,2,32,33,Jamppi,Jamppi,Jamppi,Jamppi,Jamppi,Jamppi
13,QutionerX,3,51,52,QutionerX,QutionerX,QutionerX,QutionerX,QutionerX,QutionerX
14,MaKo,14,219,175,MaKo,MaKo,MaKo,MaKo,MaKo,MaKo
15,cNed,9,146,125,cNed,cNed,cNed,cNed,cNed,cNed
16,Meteor,2,39,37,Meteor,Meteor,Meteor,Meteor,Meteor,Meteor
17,ZmjjKK,3,62,50,ZmjjKK,ZmjjKK,ZmjjKK,ZmjjKK,ZmjjKK,ZmjjKK
18,BuZz,14,227,201,BuZz,BuZz,BuZz,BuZz,BuZz,BuZz
19,Ethan,4,71,61,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan
20,Shyy,6,109,79,Shyy,Shyy,Shyy,Shyy,Shyy,Shyy
21,MOLSI,5,89,73,MOLSI,MOLSI,MOLSI,MOLSI,MOLSI,MOLSI
22,leaf,5,72,58,leaf,leaf,leaf,leaf,leaf,leaf
23,ceNder,5,85,73,ceNder,ceNder,ceNder,ceNder,ceNder,ceNder
24,Cloud,5,80,66,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud
25,Emman,2,32,29,Emman,Emman,Emman,Emman,Emman,Emman
26,garnetS,7,128,117,garnetS,garnetS,garnetS,garnetS,garnetS,garnetS
27,mwzera,4,85,65,mwzera,mwzera,mwzera,mwzera,mwzera,mwzera
28,Xeppaa,5,77,62,Xeppaa,Xeppaa,Xeppaa,Xeppaa,Xeppaa,Xeppaa
29,ardiis,8,142,125,ardiis,ardiis,ardiis,ardiis,ardiis,ardiis
30,Less,17,312,255,Less,Less,Less,Less,Less,Less
31,Leo,14,243,172,Leo,Leo,Leo,Leo,Leo,Leo
32,aspas,17,305,258,aspas,aspas,aspas,aspas,aspas,aspas
33,mixwell,2,30,34,mixwell,mixwell,mixwell,mixwell,mixwell,mixwell
